SNR,SNAME,SART,REGBEZ,KRSREST,REGBEZL,ABKZ,MBBEZ,MBABKZ,KRSL,KRSTYP
0065,Friedrich-Rückert-Gymnasium Ebern,Gymnasium,6,674,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Haßberge,Landkreis
0066,Karl-von-Closen-Gymnasium Eggenfelden,Gymnasium,2,277,Niederbayern,ndb,MB für die Gymnasien in Niederbayern Hans-Leinberger-Gymnasium Landshut,MB GYM Ndb,LK Rottal-Inn,Landkreis
0067,Willibald-Gymnasium Eichstätt,Gymnasium,1,176,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Eichstätt,Landkreis
0068,Gabrieli-Gymnasium Eichstätt,Gymnasium,1,176,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Eichstätt,Landkreis
0069,Schmuttertal-Gymnasium Diedorf,Gymnasium,7,772,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Augsburg,Landkreis
0070,Anne-Frank-Gymnasium Erding,Gymnasium,1,177,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Erding,Landkreis
0071,Gymnasium Fridericianum Erlangen,Gymnasium,5,562,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Erlangen,Stadtkreis
0072,Albert-Schweitzer-Gymnasium Erlangen,Gymnasium,5,562,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Erlangen,Stadtkreis
0073,Ohm-Gymnasium Erlangen,Gymnasium,5,562,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Erlangen,Stadtkreis
0074,Christian-Ernst-Gymnasium Erlangen,Gymnasium,5,562,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Erlangen,Stadtkreis
0075,Städtisches Marie-Therese- Gymnasium Erlangen,Gymnasium,5,562,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,Stadt Erlangen,Stadtkreis
0076,Hermann-Staudinger-Gymnasium Erlenbach a.Main,Gymnasium,6,676,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Miltenberg,Landkreis
0077,Gymnasium Eschenbach,Gymnasium,3,374,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,LK Neustadt a.d. Waldnaab,Landkreis
0078,Benediktinergymnasium Ettal,Gymnasium,1,180,Oberbayern,obb,MB für die Gymnasien in Oberbayern-West in München Klenze-Gymnasium München,MB GYM Obb-W,LK Garmisch-Partenkirchen,Landkreis
0079,KISSori-Gymnasium Bad Kissingen Priv. naturwiss.-techn. Gymnasium der KISSori-Lernzentrum gGmbH,Gymnasium,6,672,Unterfranken,ufr,MB für die Gymnasien in Unterfranken Wirsberg-Gymnasium Würzburg,MB GYM Ufr,LK Bad Kissingen,Landkreis
0080,Gymnasium Feuchtwangen,Gymnasium,5,571,Mittelfranken,mfr,MB für die Gymnasien in Mittelfranken Hans-Sachs-Gymnasium Nürnberg,MB GYM Mfr,LK Ansbach,Landkreis
0081,Spätberufenenschule St. Josef der Oblaten des Hl. Franz von Sales Fockenfeld,Gymnasium,3,377,Oberpfalz,opf,MB für die Gymnasien in der Oberpfalz Albertus-Magnus-Gymnasium Regensburg,MB GYM Opf,LK Tirschenreuth,Landkreis
0082,Herder-Gymnasium Forchheim,Gymnasium,4,474,Oberfranken,ofr,MB für die Gymnasien in Oberfranken Jean-Paul-Gymnasium Hof,MB GYM Ofr,LK Forchheim,Landkreis
0083,Gymnasium Buchloe,Gymnasium,7,777,Schwaben,sch,MB für die Gymnasien in Schwaben Holbein-Gymnasium Augsburg,MB GYM Schw,LK Ostallgäu,Landkreis
0084,Dom-Gymnasium Freising,Gymnasium,1,178,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Freising,Landkreis
0085,Josef-Hofmiller-Gymnasium Freising,Gymnasium,1,178,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Freising,Landkreis
0086,Camerloher-Gymnasium Freising,Gymnasium,1,178,Oberbayern,obb,MB für die Gymnasien in Oberbayern-Ost Maria-Theresia-Gymnasium München,MB GYM Obb-O,LK Freising,Landkreis
